Random_d,Random_n,AllCityCenter_d,AllCityCenter_n,Uniform_d,Uniform_n,UniformRandom_d,UniformRandom_n,PopulationProportionate_d,PopulationProportionate_n
0,0,7,7,0,0,0,0,0,0
1,1,7,7,0,0,0,0,1,1
2,5,7,7,0,1,1,1,2,2
2,5,7,7,1,1,1,2,3,4
2,6,7,7,1,2,2,2,4,4
2,7,7,7,1,2,2,3,4,6
2,7,7,7,2,3,2,3,4,6
2,7,7,7,2,3,3,4,5,7
3,7,7,7,2,4,3,5,6,7
3,8,7,7,3,4,4,6,6,7
3,8,7,7,3,5,4,6,6,8
4,8,7,7,3,5,4,7,7,8
4,9,7,7,4,6,5,8,7,8
5,10,7,7,4,6,5,8,7,9
5,10,7,7,4,7,5,9,7,10
6,11,7,7,5,7,6,10,7,11
6,11,7,7,5,8,6,11,8,11
6,12,7,7,5,8,7,11,8,12
7,12,7,7,6,9,7,12,8,13
7,13,7,7,6,9,7,13,8,13
7,13,7,7,6,10,8,13,9,14
8,13,7,7,7,11,8,14,9,14
8,13,7,7,7,12,8,14,10,15
9,14,7,7,8,13,9,15,10,15
9,14,7,7,8,14,9,15,11,16
9,14,7,7,9,15,9,16,11,16
10,18,7,7,9,16,10,17,11,17
10,18,7,7,10,17,10,18,12,18
10,18,7,7,10,18,11,18,12,18
10,,7,,11,,11,,13,
10,,7,,11,,12,,13,
11,,7,,12,,12,,14,
11,,7,,12,,13,,14,
11,,7,,13,,13,,14,
11,,7,,13,,13,,15,
12,,7,,14,,14,,15,
13,,7,,14,,14,,15,
13,,7,,15,,15,,16,
15,,7,,15,,15,,16,
16,,7,,16,,16,,16,
16,,7,,16,,16,,17,
17,,7,,17,,17,,17,
18,,7,,17,,17,,18,
18,,7,,18,,18,,18,
18,,7,,18,,18,,18,