num_ambulances,GA,PopulationProportionate
5,548812.4091614907,584042.8361801242
6,392886.5147515528,407846.4153726708
7,332328.87344720494,348751.34704968944
8,234152.15838509318,250074.77329192546
9,165345.43400621117,180113.46583850932
10,132206.08773291926,152052.05124223602
11,83472.90217391304,101273.46739130435
12,50613.723602484475,64244.58074534161
13,34294.4798136646,45960.00543478261
14,7961.634316770186,21544.679347826088
15,3579.932453416149,4521.357142857143
16,2579.7562111801244,3193.0403726708073
17,2107.5124223602484,2461.8051242236024
18,1832.526397515528,2050.870341614907
19,1813.2577639751553,2030.0745341614906
20,1586.192546583851,1709.0931677018634
21,1502.4619565217392,1641.0551242236024
22,1399.5947204968943,1493.251552795031
23,1326.3594720496894,1366.5139751552795
24,1270.6257763975154,1312.6218944099378
25,1225.0403726708075,1250.8563664596272
26,1190.0978260869565,1191.6847826086957
27,1163.2212732919254,1181.9642857142858
28,1105.1583850931677,1139.6397515527951
29,1078.4285714285713,1105.5318322981366
30,1059.2096273291925,1097.1638198757764
31,1045.107142857143,1063.579192546584
32,1008.5892857142857,1049.3936335403728
33,1000.2080745341615,1025.6048136645963
34,984.6273291925465,1003.4130434782609
35,969.84549689441,999.2849378881988
36,954.9371118012423,983.8097826086956
37,929.8827639751553,967.069099378882
38,933.2034161490683,956.5714285714286
39,926.4565217391304,940.3586956521739
40,912.8253105590062,935.4922360248447
41,907.0776397515529,933.6669254658385
42,897.8222049689441,926.4479813664597
43,895.9215838509317,902.4076086956521
44,891.6172360248447,901.3214285714286
45,886.2624223602485,897.6296583850932
46,877.9324534161491,896.1669254658385
47,879.2569875776397,888.4549689440994
48,862.8944099378882,883.3020186335403
49,865.5,883.1195652173913
50,866.5163043478261,879.0201863354038
51,862.8322981366459,874.7391304347826
52,859.804347826087,874.4937888198758
53,850.3517080745341,867.6762422360248
54,844.8982919254659,863.7492236024844
55,843.7515527950311,863.7492236024844
56,840.2989130434783,856.555900621118
57,841.9355590062112,855.9945652173913
58,835.2740683229814,854.8866459627329
59,835.5861801242236,852.4223602484471
60,836.9177018633541,852.4223602484471
61,832.6871118012423,852.4223602484471
62,831.1591614906832,850.3936335403727
63,831.6405279503106,849.583850931677
64,829.5,847.3478260869565
65,830.4285714285714,846.1964285714286
66,825.7003105590062,842.8385093167702
67,820.2919254658385,835.2965838509317
68,820.5962732919255,834.5892857142857
69,820.8796583850932,834.2701863354038
70,817.1156832298136,831.6723602484471