tries,flips,current,best
0,0,948.5038819875776,945.1607142857143
0,1,949.9666149068323,945.1607142857143
0,2,950.9006211180124,945.1607142857143
0,3,945.0427018633541,945.0427018633541
0,4,941.2282608695652,941.2282608695652
0,5,935.9984472049689,935.9984472049689
0,6,933.8136645962733,933.8136645962733
0,7,940.2282608695652,933.8136645962733
0,8,947.7142857142857,933.8136645962733
0,9,933.3090062111801,933.3090062111801
0,10,936.289596273292,933.3090062111801
0,11,920.2173913043479,920.2173913043479
0,12,916.3959627329192,916.3959627329192
0,13,922.901397515528,916.3959627329192
0,14,913.9541925465838,913.9541925465838
0,15,912.5737577639752,912.5737577639752
0,16,916.5069875776397,912.5737577639752
0,17,917.6257763975156,912.5737577639752
0,18,921.8765527950311,912.5737577639752
0,19,919.1218944099379,912.5737577639752
0,20,918.9417701863354,912.5737577639752
0,21,908.9829192546584,908.9829192546584
0,22,900.9891304347826,900.9891304347826
0,23,896.8175465838509,896.8175465838509
0,24,894.6187888198758,894.6187888198758
0,25,901.429347826087,894.6187888198758
0,26,903.8548136645962,894.6187888198758
0,27,902.263198757764,894.6187888198758
0,28,904.1366459627329,894.6187888198758
0,29,902.3990683229814,894.6187888198758
0,30,898.3998447204968,894.6187888198758
0,31,895.8291925465838,894.6187888198758
0,32,897.8284161490683,894.6187888198758
0,33,900.3517080745341,894.6187888198758
0,34,906.7360248447205,894.6187888198758
0,35,908.804347826087,894.6187888198758
0,36,908.4526397515529,894.6187888198758
0,37,910.2290372670808,894.6187888198758
0,38,905.0496894409938,894.6187888198758
0,39,909.9270186335403,894.6187888198758
0,40,912.014751552795,894.6187888198758
0,41,912.945652173913,894.6187888198758
0,42,913.7492236024844,894.6187888198758
0,43,908.5753105590062,894.6187888198758
0,44,904.7709627329192,894.6187888198758
0,45,903.6063664596273,894.6187888198758
0,46,896.791149068323,894.6187888198758
0,47,893.2593167701864,893.2593167701864
0,48,892.4930124223603,892.4930124223603
0,49,889.1444099378882,889.1444099378882
0,50,887.4487577639752,887.4487577639752
0,51,885.8540372670808,885.8540372670808
0,52,890.6614906832298,885.8540372670808
0,53,888.3027950310559,885.8540372670808
0,54,894.6218944099379,885.8540372670808
0,55,905.0209627329192,885.8540372670808
0,56,915.7919254658385,885.8540372670808
0,57,919.7616459627329,885.8540372670808
0,58,918.0644409937888,885.8540372670808
0,59,915.8555900621118,885.8540372670808
0,60,913.7010869565217,885.8540372670808
0,61,915.1475155279503,885.8540372670808
0,62,913.0232919254659,885.8540372670808
0,63,919.7686335403727,885.8540372670808
0,64,919.4324534161491,885.8540372670808
0,65,913.3183229813665,885.8540372670808
0,66,909.4510869565217,885.8540372670808
0,67,916.5807453416149,885.8540372670808
0,68,925.0062111801242,885.8540372670808
0,69,920.8951863354038,885.8540372670808
0,70,919.1614906832298,885.8540372670808
0,71,917.4899068322982,885.8540372670808
0,72,913.9332298136646,885.8540372670808
0,73,915.9541925465838,885.8540372670808
0,74,917.1009316770186,885.8540372670808
0,75,923.3346273291926,885.8540372670808
0,76,919.8020186335403,885.8540372670808
0,77,915.7065217391304,885.8540372670808
0,78,909.3144409937888,885.8540372670808
0,79,905.3742236024844,885.8540372670808
0,80,908.3260869565217,885.8540372670808
0,81,905.6226708074535,885.8540372670808
0,82,909.3517080745341,885.8540372670808
0,83,918.9572981366459,885.8540372670808
0,84,926.4891304347826,885.8540372670808
0,85,944.0442546583851,885.8540372670808
0,86,943.1723602484471,885.8540372670808
0,87,948.2608695652174,885.8540372670808
0,88,939.6203416149068,885.8540372670808
0,89,945.2197204968944,885.8540372670808
0,90,938.6086956521739,885.8540372670808
0,91,933.1024844720497,885.8540372670808
0,92,925.1498447204968,885.8540372670808
0,93,921.888198757764,885.8540372670808
0,94,929.7810559006211,885.8540372670808
0,95,931.625,885.8540372670808
0,96,934.652950310559,885.8540372670808
1,0,973.6614906832298,885.8540372670808
1,1,979.2608695652174,885.8540372670808
1,2,977.194099378882,885.8540372670808
1,3,964.0931677018633,885.8540372670808
1,4,960.1343167701864,885.8540372670808
1,5,960.0504658385094,885.8540372670808
1,6,949.7072981366459,885.8540372670808
1,7,943.9899068322982,885.8540372670808
1,8,948.9596273291926,885.8540372670808
1,9,936.6847826086956,885.8540372670808
2,0,925.4526397515529,885.8540372670808
2,1,914.9277950310559,885.8540372670808
2,2,907.3439440993789,885.8540372670808
2,3,907.0652173913044,885.8540372670808
2,4,902.6413043478261,885.8540372670808
2,5,918.6257763975156,885.8540372670808
2,6,920.5993788819876,885.8540372670808
2,7,925.1164596273292,885.8540372670808
2,8,914.3330745341615,885.8540372670808
2,9,926.0240683229814,885.8540372670808
2,10,923.1894409937888,885.8540372670808
2,11,921.2965838509317,885.8540372670808
2,12,927.8136645962733,885.8540372670808
2,13,927.1762422360248,885.8540372670808
2,14,922.7872670807453,885.8540372670808
2,15,916.0978260869565,885.8540372670808
2,16,916.0015527950311,885.8540372670808
2,17,911.3967391304348,885.8540372670808
2,18,917.9712732919255,885.8540372670808
2,19,930.1925465838509,885.8540372670808
2,20,918.8757763975156,885.8540372670808
2,21,917.8586956521739,885.8540372670808
2,22,921.5170807453416,885.8540372670808
2,23,915.5232919254659,885.8540372670808
2,24,921.5822981366459,885.8540372670808
2,25,917.2888198757764,885.8540372670808
2,26,913.3571428571429,885.8540372670808
2,27,910.5776397515529,885.8540372670808
2,28,911.985248447205,885.8540372670808
2,29,911.9316770186335,885.8540372670808
2,30,915.9549689440994,885.8540372670808
2,31,918.585403726708,885.8540372670808
2,32,923.3377329192547,885.8540372670808
2,33,936.5341614906832,885.8540372670808
2,34,928.5807453416149,885.8540372670808
2,35,932.5776397515529,885.8540372670808
2,36,929.7375776397515,885.8540372670808
2,37,931.179347826087,885.8540372670808
2,38,936.5108695652174,885.8540372670808
2,39,937.0419254658385,885.8540372670808
2,40,930.0326086956521,885.8540372670808
2,41,918.9510869565217,885.8540372670808
2,42,922.679347826087,885.8540372670808
2,43,918.8998447204968,885.8540372670808
2,44,924.8579192546584,885.8540372670808
2,45,926.2305900621118,885.8540372670808
2,46,922.7740683229814,885.8540372670808
2,47,917.1995341614906,885.8540372670808
2,48,922.513198757764,885.8540372670808
2,49,922.15450310559,885.8540372670808
2,50,924.7802795031056,885.8540372670808
2,51,926.7461180124224,885.8540372670808
2,52,927.3291925465838,885.8540372670808
2,53,935.9681677018633,885.8540372670808
2,54,933.4394409937888,885.8540372670808
2,55,924.6071428571429,885.8540372670808
2,56,934.180900621118,885.8540372670808
2,57,931.347049689441,885.8540372670808
2,58,929.973602484472,885.8540372670808
2,59,931.527950310559,885.8540372670808
2,60,922.8051242236024,885.8540372670808
2,61,930.445652173913,885.8540372670808
2,62,932.0993788819876,885.8540372670808
2,63,934.7197204968944,885.8540372670808
2,64,934.5069875776397,885.8540372670808
2,65,929.5667701863354,885.8540372670808
3,0,983.4937888198758,885.8540372670808
3,1,978.6467391304348,885.8540372670808
3,2,987.9231366459627,885.8540372670808
3,3,987.361801242236,885.8540372670808
3,4,975.7888198757764,885.8540372670808
3,5,966.8959627329192,885.8540372670808
3,6,964.1265527950311,885.8540372670808
3,7,973.6467391304348,885.8540372670808
3,8,967.6482919254659,885.8540372670808
3,9,965.7313664596273,885.8540372670808
3,10,971.1482919254659,885.8540372670808
3,11,985.2298136645962,885.8540372670808
3,12,992.2981366459627,885.8540372670808
3,13,1002.8082298136646,885.8540372670808
3,14,1002.0007763975156,885.8540372670808
3,15,988.7344720496894,885.8540372670808
3,16,979.8858695652174,885.8540372670808
3,17,962.2538819875776,885.8540372670808
3,18,951.4565217391304,885.8540372670808
3,19,959.0760869565217,885.8540372670808
3,20,962.5450310559006,885.8540372670808
3,21,957.7771739130435,885.8540372670808
3,22,956.2468944099379,885.8540372670808
3,23,947.3493788819876,885.8540372670808
3,24,951.5062111801242,885.8540372670808
3,25,946.4743788819876,885.8540372670808
3,26,952.7950310559006,885.8540372670808
3,27,956.3385093167702,885.8540372670808
3,28,945.3579192546584,885.8540372670808
3,29,955.1296583850932,885.8540372670808
3,30,962.3315217391304,885.8540372670808
3,31,949.9417701863354,885.8540372670808
3,32,942.210403726708,885.8540372670808
3,33,949.1568322981367,885.8540372670808
3,34,946.0566770186335,885.8540372670808
3,35,943.2406832298136,885.8540372670808
3,36,937.2290372670808,885.8540372670808
3,37,936.0357142857143,885.8540372670808
3,38,936.195652173913,885.8540372670808
3,39,954.1234472049689,885.8540372670808
3,40,954.4906832298136,885.8540372670808
3,41,958.8012422360248,885.8540372670808
3,42,950.8687888198758,885.8540372670808
3,43,949.4487577639752,885.8540372670808
3,44,950.8913043478261,885.8540372670808
3,45,961.9557453416149,885.8540372670808
3,46,944.5993788819876,885.8540372670808
3,47,938.8377329192547,885.8540372670808
4,0,955.3416149068323,885.8540372670808
4,1,953.0923913043479,885.8540372670808
4,2,942.3260869565217,885.8540372670808
4,3,946.8936335403727,885.8540372670808
4,4,945.7127329192547,885.8540372670808
5,0,962.9378881987577,885.8540372670808
5,1,951.8711180124224,885.8540372670808
5,2,943.0209627329192,885.8540372670808
5,3,931.7375776397515,885.8540372670808
5,4,937.0333850931677,885.8540372670808
5,5,942.8913043478261,885.8540372670808
5,6,934.1692546583851,885.8540372670808
5,7,927.2127329192547,885.8540372670808
5,8,926.0248447204968,885.8540372670808
5,9,923.1211180124224,885.8540372670808
5,10,928.6871118012423,885.8540372670808
5,11,931.4510869565217,885.8540372670808
5,12,939.6358695652174,885.8540372670808
5,13,941.5939440993789,885.8540372670808
5,14,947.7476708074535,885.8540372670808
5,15,939.6172360248447,885.8540372670808
5,16,945.2826086956521,885.8540372670808
5,17,959.1886645962733,885.8540372670808
5,18,945.4650621118012,885.8540372670808
5,19,939.3555900621118,885.8540372670808
5,20,933.569099378882,885.8540372670808
5,21,932.2950310559006,885.8540372670808
5,22,928.7888198757764,885.8540372670808
5,23,927.9875776397515,885.8540372670808
5,24,930.6917701863354,885.8540372670808
5,25,922.8237577639752,885.8540372670808
5,26,927.986801242236,885.8540372670808
5,27,927.6071428571429,885.8540372670808
5,28,923.0178571428571,885.8540372670808
5,29,931.3361801242236,885.8540372670808
5,30,932.429347826087,885.8540372670808
5,31,936.6343167701864,885.8540372670808
5,32,942.0139751552795,885.8540372670808
5,33,933.8291925465838,885.8540372670808
5,34,925.9782608695652,885.8540372670808
5,35,919.9658385093168,885.8540372670808
5,36,919.5046583850932,885.8540372670808
5,37,915.9875776397515,885.8540372670808
5,38,918.0450310559006,885.8540372670808
5,39,928.1832298136646,885.8540372670808
5,40,933.0116459627329,885.8540372670808
5,41,938.2305900621118,885.8540372670808
5,42,930.4169254658385,885.8540372670808
5,43,930.210403726708,885.8540372670808
5,44,925.6335403726708,885.8540372670808
5,45,920.4557453416149,885.8540372670808
5,46,921.9534161490683,885.8540372670808
5,47,925.083850931677,885.8540372670808
5,48,932.2313664596273,885.8540372670808
5,49,937.0038819875776,885.8540372670808
5,50,925.0613354037267,885.8540372670808
5,51,934.90450310559,885.8540372670808
5,52,931.125,885.8540372670808
5,53,937.9844720496894,885.8540372670808
5,54,943.6506211180124,885.8540372670808
5,55,949.0815217391304,885.8540372670808
5,56,947.9425465838509,885.8540372670808
5,57,945.2802795031056,885.8540372670808
5,58,945.1591614906832,885.8540372670808
5,59,961.5155279503106,885.8540372670808
5,60,970.2709627329192,885.8540372670808
5,61,949.7406832298136,885.8540372670808
5,62,946.7694099378882,885.8540372670808
5,63,940.6537267080745,885.8540372670808
5,64,952.0248447204968,885.8540372670808
5,65,940.2748447204968,885.8540372670808
5,66,944.3905279503106,885.8540372670808
5,67,955.3493788819876,885.8540372670808
5,68,947.4037267080745,885.8540372670808
5,69,940.8656832298136,885.8540372670808
5,70,936.1677018633541,885.8540372670808
5,71,934.6964285714286,885.8540372670808
5,72,943.0302795031056,885.8540372670808
5,73,944.5248447204968,885.8540372670808
5,74,950.7709627329192,885.8540372670808
5,75,949.7305900621118,885.8540372670808
5,76,946.8416149068323,885.8540372670808
5,77,946.9743788819876,885.8540372670808
6,0,965.7577639751553,885.8540372670808
6,1,971.5,885.8540372670808
6,2,973.2996894409938,885.8540372670808
6,3,972.6521739130435,885.8540372670808
6,4,985.8835403726708,885.8540372670808
6,5,983.7531055900621,885.8540372670808
6,6,988.9208074534162,885.8540372670808
6,7,978.7150621118012,885.8540372670808
6,8,977.2663043478261,885.8540372670808
6,9,974.2577639751553,885.8540372670808
7,0,960.6343167701864,885.8540372670808
7,1,959.7616459627329,885.8540372670808
7,2,961.7934782608696,885.8540372670808
7,3,948.5357142857143,885.8540372670808
7,4,947.6017080745341,885.8540372670808
7,5,947.7686335403727,885.8540372670808
7,6,939.2577639751553,885.8540372670808
7,7,946.1024844720497,885.8540372670808
7,8,965.0186335403727,885.8540372670808
7,9,947.152950310559,885.8540372670808
7,10,941.6203416149068,885.8540372670808
7,11,943.1141304347826,885.8540372670808
7,12,935.4961180124224,885.8540372670808
7,13,932.6451863354038,885.8540372670808
7,14,930.6055900621118,885.8540372670808
7,15,933.90450310559,885.8540372670808
7,16,934.6420807453416,885.8540372670808
7,17,930.4262422360248,885.8540372670808
7,18,923.0768633540373,885.8540372670808
7,19,920.9751552795032,885.8540372670808
7,20,934.3268633540373,885.8540372670808
7,21,928.3392857142857,885.8540372670808
7,22,932.0590062111801,885.8540372670808
7,23,930.9340062111801,885.8540372670808
7,24,930.4076086956521,885.8540372670808
7,25,942.3291925465838,885.8540372670808
7,26,936.6063664596273,885.8540372670808
7,27,941.3765527950311,885.8540372670808
7,28,944.7383540372671,885.8540372670808
7,29,944.041149068323,885.8540372670808
7,30,927.9790372670808,885.8540372670808
7,31,930.52950310559,885.8540372670808
7,32,933.6878881987577,885.8540372670808
7,33,933.4464285714286,885.8540372670808