UniformRandom,Uniform,GA (1 week),AllCityCenter,PopulationProportionate,GA (1 year),Random,MA,SLS
535,535,535,535,535,535,535,535,535
1184,1184,1184,1184,1184,1184,1392,1184,1184
388,388,207,207,207,207,388,207,207
495,495,495,1014,495,528,495,495,528
1653,1653,1653,2850,1653,1653,2365,2365,2558
1562,1562,1562,2200,1562,1562,1396,1562,1562
523,523,523,529,523,523,523,523,523
652,652,652,905,652,652,652,652,652
456,456,456,503,456,456,456,456,456
871,871,871,2565,871,871,871,871,871
550,550,550,766,463,463,463,756,550
1111,1111,1111,2786,1111,1111,1111,1111,1111
328,328,328,1002,328,328,628,628,328
853,853,853,1952,853,1407,1407,853,853
766,766,766,1508,766,766,766,766,766
608,608,608,608,608,608,608,608,608
457,457,369,408,369,429,369,457,457
993,1022,993,1256,993,1022,993,993,1022
2141,1356,2141,2576,2263,1356,1618,2141,2263
1747,1747,1747,3092,2673,1747,1747,1747,1747
802,802,802,866,563,802,563,802,866
594,594,367,594,367,367,367,594,594
303,303,303,303,303,303,303,303,303
2485,903,903,3514,2485,2485,2485,2485,2485
1410,1492,1410,2246,1410,1492,1492,1410,1410
902,1300,1805,3255,902,1805,902,902,902
697,697,697,1040,697,338,998,998,338
2819,1147,2819,3645,3400,3400,3400,2819,2819
546,1003,546,1031,546,1003,1003,546,1003
1455,1455,1455,2226,1455,1455,1455,1455,1455
1009,1009,1009,1054,1054,1009,1054,1009,1054
458,458,458,989,458,458,458,458,458
1449,1493,1449,1493,1449,1493,1493,915,1493
269,450,269,269,269,269,269,269,269
320,320,320,320,320,320,320,320,320
1183,726,1183,1387,1183,726,1183,1183,726
672,672,442,789,672,672,672,442,672
777,777,660,1523,660,1160,1160,660,660
588,666,531,691,531,588,588,531,531
1119,404,1119,2526,1119,404,404,1119,1119
295,295,295,1038,295,295,706,706,295
285,283,285,285,285,283,283,285,283
799,618,799,618,618,618,618,618,618
772,772,772,700,772,700,772,772,700
570,454,454,273,454,454,454,612,273
817,924,504,649,504,515,740,515,515
733,733,573,1247,573,733,733,733,573
782,879,624,443,624,624,782,624,443
534,534,264,624,264,264,264,534,264
573,573,573,359,573,573,573,626,451
1261,1261,1261,2776,1261,1261,1261,1261,1261
813,813,565,957,565,565,565,565,565
273,273,273,273,273,273,273,273,273
1221,1221,657,395,623,623,657,1221,623
587,587,587,587,587,587,587,587,587
476,476,476,1315,476,544,476,476,544
1156,1156,1156,1156,809,1156,1156,1156,1156
561,561,561,3496,2715,561,561,561,2720
557,557,557,1100,746,557,557,557,746
421,421,421,421,421,421,421,421,421
962,1252,820,1243,820,820,1121,820,820
609,959,662,959,662,959,959,609,959
746,691,746,691,691,691,746,691,691
717,717,717,836,717,717,717,717,717
718,718,718,3621,718,718,718,718,718
1101,1101,1101,1009,1009,1101,1101,1101,1009
940,879,879,940,879,879,879,879,879
520,520,520,1823,520,520,1249,1249,520
288,551,288,551,288,532,288,551,532
636,636,636,2284,636,636,636,636,636
381,381,381,561,381,381,381,381,381
2692,2692,2692,2852,2692,2692,2692,2692,2692
1180,1180,1180,1186,1180,1180,1180,1180,1180
775,775,775,1352,775,775,775,775,775
1608,1402,1402,1872,1402,1402,1402,1402,1608
428,428,428,428,428,428,428,428,428
768,768,768,1257,768,768,768,768,768
1411,1367,1367,1383,1367,1367,1367,1367,1367
1741,1741,1741,3784,3008,1741,1741,1741,3008
548,548,548,1309,548,548,548,548,548
640,640,640,640,640,640,640,640,640
1489,1489,1489,3949,1489,1489,1489,1489,1489
694,694,694,823,694,694,694,694,694
701,701,701,1875,701,701,701,701,1094
745,745,745,851,745,745,745,745,745
1074,1074,1098,1975,1074,1098,1074,1074,1074
712,712,712,1389,712,712,712,712,712
438,438,438,1619,438,438,438,438,438
501,501,501,2443,1373,501,501,501,501
995,996,996,996,995,995,996,995,996
965,965,965,1665,1109,965,1054,1054,1109
640,640,640,1115,640,640,640,640,640
376,376,376,556,376,376,376,556,376
1761,1761,1761,2874,1761,1761,1761,1761,1761
291,291,291,600,291,291,291,291,291
500,500,500,2439,2439,500,500,500,500
961,961,961,1850,961,961,1423,961,961
2923,2923,2923,3569,2923,2923,2923,2923,2923
605,822,822,1307,822,822,733,822,605
901,901,901,1541,901,901,901,901,901
1413,1413,1413,3115,1413,1413,1413,1413,1413
99,99,99,385,99,99,99,99,99
2400,2400,2400,2400,2400,2400,2400,2400,2400
563,563,563,962,563,563,563,563,563
1801,1801,2021,2770,1801,2021,1801,1801,1801
460,460,279,279,279,279,460,279,279
723,991,723,1153,723,723,991,723,723
565,565,565,1100,565,565,1051,565,565
1340,1340,552,1283,786,552,1340,552,552
489,489,489,518,489,489,489,489,489
782,782,782,766,782,782,782,782,782
364,364,364,1093,364,364,364,364,364
496,496,496,1015,496,496,496,496,496
336,336,336,336,336,336,336,336,336
810,810,811,811,810,810,810,810,811
297,297,326,651,297,326,297,297,452
731,731,731,634,683,731,684,731,731
2008,2008,2008,2600,2008,2008,2249,2008,2008
751,751,751,2400,751,751,751,751,751
1038,1038,1038,1040,1038,1038,1218,1038,1038
1877,1877,1877,2432,1877,1877,1877,1251,1877
1906,1906,1906,2242,1906,1906,1906,1906,1906
373,373,373,1074,373,373,566,373,373
2122,2122,2122,2868,2122,2122,2122,2122,2005
1684,1684,1684,1850,1684,1684,1684,1684,1684
358,358,358,967,358,358,358,358,688
947,1006,766,766,766,766,834,766,766
2074,2074,1914,1961,1914,1914,2189,1914,1914
809,809,809,809,809,809,809,809,809
652,652,652,1769,652,652,652,652,652
373,373,373,1101,373,373,373,373,499
1993,1993,1993,1993,1993,1993,1993,1993,1993
207,207,207,322,207,207,824,714,207
833,833,833,877,833,833,833,833,877
277,277,277,1511,277,277,277,277,277
305,305,305,933,305,305,616,305,601
710,710,710,822,710,710,837,710,710
662,662,662,970,662,662,729,662,662
1282,1282,440,1457,1066,440,1066,440,440
1003,1113,355,1113,1003,1003,355,355,1003
730,730,621,601,621,621,1025,621,621
4278,4278,4278,4505,4278,4278,4278,4278,4278
1402,1402,1350,979,1402,1350,1402,1350,1402
540,770,540,540,540,540,856,540,540
3905,4085,3064,3694,3358,3064,4167,3358,3434
860,929,860,929,800,800,929,800,860
586,586,586,1150,586,586,819,586,586
2493,2493,2493,2493,2455,2455,2493,2455,2455
1312,1610,1283,1227,1133,1283,1610,1133,1133
664,664,463,463,463,463,463,463,463
857,857,857,1285,857,857,857,857,857
1029,1210,1029,1029,1029,1029,1210,1029,1029
2192,2533,2192,2866,2192,2192,2533,2192,2533
2120,2120,1710,2120,1710,1710,2120,1710,2120
237,512,512,343,237,237,512,237,237
504,504,504,1511,504,504,504,504,504
577,577,577,1409,577,577,577,577,577
1093,1093,1093,2926,1093,1093,1093,1093,1093
2218,2218,2218,3399,2218,2218,2811,2218,2218
2007,2007,2007,2007,2007,2007,2007,2007,2007
250,250,250,250,250,250,250,250,250
551,551,551,2020,853,551,853,853,551
1749,1363,1749,2979,1749,1749,1749,1749,1363
2322,2322,2322,3147,2367,2322,2784,2367,2322
1656,1656,1656,2103,1656,1656,2225,2061,1656
380,380,380,757,380,380,794,380,380
510,510,510,1343,510,510,510,510,510
711,711,711,711,711,711,711,711,711
338,338,338,338,338,338,338,338,338
1507,1507,1507,1556,1507,1507,1507,1507,1507
1878,1977,1638,1638,1638,1638,1878,1638,1638
220,220,220,240,220,220,220,220,220
956,956,956,1491,956,956,1488,956,956
788,1043,607,607,607,607,1043,607,607
1845,1931,1845,2148,1845,1845,1931,1931,1845
1160,1160,1160,1837,1160,1160,1160,1160,1160
454,317,454,1288,317,454,317,317,454
1101,1101,1129,1476,1129,1101,1101,1129,1137
1147,549,1172,1411,1147,1147,1147,1147,549
1138,1138,1138,2176,1138,1138,1138,1138,1138
692,692,692,1873,692,692,692,692,692
1819,1819,1819,2932,1819,1819,1819,1819,1819
667,667,667,2607,1028,667,1028,1028,667
1354,1354,1354,1354,1286,1354,1354,1286,1354
418,418,418,490,418,418,418,418,418
5129,5129,4579,5468,5041,4579,5041,4579,4579
1164,1164,1164,1442,1164,1164,1241,1164,1177
219,219,219,648,219,219,219,219,219
677,677,677,677,677,677,677,677,677
688,688,688,817,688,688,688,688,688
1312,1312,1312,1269,1312,1312,1312,1312,1910
1547,1547,1547,2422,1547,1547,1547,1547,1547
416,416,416,416,416,416,416,416,416
506,461,506,798,461,461,461,461,506
1157,1396,854,860,854,860,854,854,860
712,1064,942,1557,712,942,712,712,942
2416,2512,1714,1714,1714,2053,1714,1714,1714
613,613,613,2553,613,613,613,613,613
1034,1034,516,855,855,1034,1034,508,508
253,253,253,253,253,253,253,492,253
1085,2420,1085,1578,829,1085,829,829,1085
1805,1963,750,972,497,1308,497,1805,497
177,177,177,1810,177,177,177,177,177
1175,1175,1175,1175,1175,1175,1175,1175,1175
1018,1914,1694,2320,1694,2035,1694,1018,1694
340,340,340,387,340,340,340,340,340
1309,1161,1309,1173,1161,1161,1161,1309,1161
735,735,735,1556,735,758,735,735,758
450,613,794,722,582,475,475,851,582
1762,1784,1300,1060,1300,1060,1300,1496,1060
241,241,241,1899,241,241,241,241,241
918,987,764,987,749,764,764,818,408
308,959,308,1847,1451,308,308,308,308
1836,1836,1836,1836,1836,1836,1836,1836,1836
528,363,469,288,469,528,469,288,288
871,871,871,871,871,871,871,871,871
1242,1242,1118,416,1118,1140,1118,1118,1218
1519,2041,1519,954,1127,1519,1127,2303,1519
241,241,241,241,241,241,241,241,241
809,809,516,1328,516,516,516,516,516
336,336,336,336,336,336,336,336,336
1113,1764,1113,2096,1605,1113,1778,1113,462
505,505,505,324,505,324,505,324,324
832,832,832,833,832,832,832,832,832
1580,1580,1580,2361,1580,1580,2361,1580,1580
690,690,690,690,690,690,690,690,690
1610,1610,1610,2530,1664,1610,1610,2164,2164
802,802,736,737,737,802,802,737,737
353,507,353,981,353,353,649,649,353
435,435,435,518,435,435,435,435,435
583,931,583,782,583,583,1123,583,583
416,416,416,416,416,416,416,416,416
367,367,367,367,367,367,367,367,367
365,365,365,365,365,365,496,479,365
778,651,651,652,651,651,778,651,651
1543,1543,1067,1084,1169,1480,1869,1543,1480
937,937,290,419,937,937,1180,937,937
1147,1059,723,940,723,1146,1146,723,940
950,950,509,857,509,509,950,636,509
1251,1266,1199,884,900,1251,1117,900,900
1946,2230,1946,2282,2230,1946,1946,1946,1946
827,827,1081,896,827,1242,827,827,1241
3000,3000,3000,2539,2705,1527,2581,2327,1527
825,1688,825,1752,825,1259,825,825,1259
251,251,99,99,99,99,99,99,99
863,863,863,2024,2024,863,863,863,2024
757,901,901,901,846,901,901,901,901
185,185,185,185,185,185,185,185,185
529,529,529,1216,529,787,529,966,787
1505,1505,1505,3725,1505,1505,1505,1505,1505
340,496,295,295,295,295,295,295,295
452,452,452,1178,452,452,452,452,452
534,789,534,353,534,534,593,534,534
953,823,1008,1417,582,1008,582,582,582
272,272,272,272,272,272,272,272,272
450,450,290,450,450,450,514,631,450
500,696,260,260,599,500,441,500,500
472,472,472,472,472,472,472,472,472
1123,824,824,1178,824,824,824,824,1123
509,509,509,1874,509,509,509,509,509
1808,1870,1808,1934,1403,1870,1808,1808,1934
319,319,319,319,319,319,319,319,319
743,743,743,1917,743,743,1361,743,743
692,692,692,692,692,692,692,692,692
676,446,446,446,446,446,446,446,446
534,534,534,879,902,534,534,534,534
314,314,495,314,314,495,495,314,314
1153,1153,1153,1239,1153,1153,1153,1153,1153
469,469,469,518,469,517,469,469,469
595,595,437,256,437,595,437,437,256
331,331,331,331,331,331,331,331,331
438,438,438,438,438,438,438,438,438
590,590,590,1946,590,590,590,590,590
1151,1151,1151,1707,1151,1151,1707,1151,1151
513,513,513,513,513,513,513,513,513
1458,1458,1458,3128,1458,1458,1458,1458,1458
1009,1009,1009,1053,563,1009,1009,563,1009
269,450,269,269,269,269,269,269,269
940,1006,940,941,940,940,940,940,940
1201,1201,1287,1636,1201,1201,1201,1287,1201
674,674,674,900,674,674,674,674,674
1183,1183,844,1183,844,1183,1183,844,1183
703,703,703,750,665,665,665,665,665
2380,2380,2380,2517,2380,2380,2380,2389,2380
1453,1794,1453,2127,1453,1453,1794,1809,1453
992,992,992,1438,992,992,992,992,992
360,360,360,653,360,360,360,360,360
268,268,268,268,268,268,268,268,268
762,762,762,1107,762,762,762,762,762
907,907,907,1770,907,907,962,962,907
597,597,597,644,597,597,597,597,597
588,588,588,1769,588,588,588,588,588
428,428,428,428,428,428,428,428,428
3082,3082,3082,3082,3082,3082,3082,3082,3082
329,329,329,804,329,329,329,569,329
531,531,531,706,531,531,531,531,531
3498,3789,3320,3726,3320,3498,3789,3498,3320
430,430,430,1188,430,430,430,430,430
889,889,889,986,693,889,889,889,889
451,451,451,737,415,451,451,451,737
610,610,610,1119,610,610,610,610,610
339,339,339,1121,339,339,339,339,339
552,552,552,1106,552,552,552,552,552
1065,1065,1065,1836,1065,1065,1065,1385,1385
736,736,736,1524,736,736,736,736,736
1142,1417,494,1252,494,494,494,494,1142
465,465,465,837,465,465,465,465,465
461,461,461,510,461,461,461,461,461
768,768,719,1058,719,719,768,719,719
403,403,403,329,291,403,291,518,329
4107,4107,3926,3926,3926,3926,4107,3926,3926
714,714,714,803,636,714,636,714,636
428,477,477,399,428,428,477,428,476
830,961,562,525,488,562,562,562,488
982,982,650,852,759,650,982,650,759
756,756,756,756,408,756,756,408,408
1575,1575,1575,2437,1575,1575,1575,1575,1575
453,453,453,655,453,453,453,958,958
441,441,441,984,441,441,441,441,673
1750,1750,1750,1750,1750,1750,1750,1750,1750
868,868,868,1502,868,868,965,868,868
537,537,537,968,537,537,537,537,537
2103,2103,2103,3277,2103,2103,2103,2103,2103
1621,1621,1621,1622,1621,1621,1621,1621,1621
335,335,335,335,335,335,335,335,335
149,149,149,149,149,149,149,149,149
440,440,440,2379,440,440,440,440,440
788,788,788,879,788,788,788,788,788
660,711,711,822,660,660,711,660,711
388,388,388,417,388,388,388,417,417
448,448,448,467,204,448,448,467,467
1236,1236,1236,2943,1236,1236,1236,1236,1236
2582,2582,2582,3376,2582,2582,2582,2582,2582
1912,1926,1912,2190,1912,1912,1926,1912,1926
555,555,555,1789,555,555,555,555,555
566,566,566,566,566,566,566,566,566
468,468,468,696,290,468,468,468,468
2685,2685,2685,3564,2685,2685,2685,2906,3071
833,833,833,1331,833,833,833,833,833
814,814,814,2251,814,814,814,814,814
814,814,814,814,814,814,814,814,814
785,785,785,2740,2078,785,785,785,785
8935,8994,8754,8754,8754,8754,8994,8754,8754
477,477,477,786,477,477,477,477,477
743,743,743,2267,743,743,743,743,743
443,443,443,485,443,443,443,443,443
1109,1109,1109,1522,1109,1109,1109,1109,1109
566,711,566,614,565,565,711,565,440
788,788,788,1325,788,788,788,788,788
537,537,486,575,486,486,537,486,486
862,906,862,909,862,862,1300,862,862
866,866,546,546,544,544,866,546,544
1193,1200,759,640,579,640,1200,1014,640
1847,1847,1847,2856,1847,1847,1847,1847,1847
1582,1354,1582,1582,1176,1176,1354,1582,1176
565,580,565,580,565,565,580,565,565
288,288,288,1689,288,288,1134,288,288
741,741,741,1039,741,741,741,741,741
921,1068,921,1289,921,1289,921,1289,921
179,179,179,1535,179,179,179,179,179
1063,1063,437,1056,1063,437,1063,437,437
1162,1162,1162,1863,1162,1162,1216,1162,1162
637,637,637,3031,637,637,637,637,637
877,877,812,812,811,811,811,811,812
594,959,594,941,594,594,594,594,594
1544,1544,1544,1544,1543,1544,1544,1543,1543
999,999,999,1839,999,999,999,999,999
2063,2063,1283,2431,2431,2431,2063,1283,2431
2431,2431,2431,2881,2063,1283,2431,2431,2063
1590,561,1590,3160,2133,1590,1590,561,1590
3781,3781,3155,4336,3781,3155,3781,3155,3155
522,522,522,899,522,522,522,522,522
1699,1699,1699,2860,1699,1699,1699,1699,1699
2801,2982,2801,2801,2801,2801,2982,2801,2801
1422,1422,1422,1821,1790,1422,1422,1422,1422
684,684,684,1384,684,684,684,684,684
1926,1926,1926,2696,1926,1926,1902,1926,2323
415,415,415,595,415,415,415,415,415
1087,1087,1087,1376,1087,1087,1087,1087,1087
718,626,718,626,626,626,626,626,626
942,942,942,1048,942,942,942,942,942
1423,1341,1341,1851,1341,1341,1341,1341,1423
862,862,862,1516,862,897,1031,862,1031
873,1429,1303,1367,873,1303,752,1303,1367
1470,1470,537,1470,938,537,896,1470,1470
797,533,797,2205,514,713,797,533,797
1101,232,1042,232,1042,232,1101,1042,1042
2517,2574,2208,2208,2208,2208,2280,2517,2208
305,722,305,1438,722,722,722,305,305
813,813,813,1487,813,813,813,973,813
786,786,786,786,383,786,383,786,786
795,1204,171,1091,826,171,826,795,795
765,765,765,3740,765,765,765,765,765
2900,3555,2456,2394,2330,2708,2394,2708,2708
1898,1390,1887,3071,1390,1390,1898,1390,1898
915,915,858,788,788,915,858,915,1573
762,762,762,1199,762,762,762,762,762
1638,1638,1387,913,694,1093,694,1093,1736
620,870,620,515,719,620,719,620,620
2427,2427,2427,1283,1829,2427,2105,2427,2537
3172,3172,2162,1382,1610,2162,2026,2162,2162
3325,3325,3325,3325,3325,3325,3325,3325,3325
1318,1461,673,894,1318,526,951,1318,526
1313,1313,1313,1313,2455,1313,1313,1313,1313
1911,1911,1911,1911,1911,1911,1911,1911,1911
618,618,618,618,1549,618,618,618,618
1699,1699,1699,1699,1583,1699,1699,1699,1699
2284,2284,2284,2284,1286,2284,2284,2284,2284
1130,1130,1130,1130,1130,1130,1130,1130,1778
1961,1961,1961,1961,1961,1961,1961,1961,1401
1515,1515,1515,1515,1515,1515,1515,1515,1515
3937,3937,3937,3937,3937,3937,3937,3937,3937
2569,2569,2569,2569,3431,2569,2569,2569,3431
1302,1302,1302,1302,1109,1302,1252,1302,1302
556,556,556,689,556,556,556,804,556
655,655,655,474,655,655,655,655,751
3297,3297,3297,3965,3297,3297,3297,3297,3297
541,541,541,224,541,541,541,541,541
928,928,928,928,928,928,928,928,928
527,742,742,507,668,742,493,527,742
770,749,770,996,770,800,800,770,770
2417,2042,2417,2375,2325,2417,2417,2417,2417
906,906,906,247,586,906,906,906,906
637,637,637,703,555,637,703,637,703
610,610,610,624,636,610,636,610,772
523,523,523,1238,609,523,609,523,523
271,271,271,1062,271,271,271,271,1037
1087,1033,1033,1759,1087,1033,1567,1033,1087
1534,1534,1534,1799,1559,1534,1534,1433,1534
861,861,861,861,619,861,861,861,861
218,218,218,324,218,218,218,218,218
516,516,516,623,516,516,516,516,516
357,357,357,357,207,357,207,207,357
306,306,306,306,306,306,306,306,306